data.HuGene.2_0.v1.091906_4905_Pool1_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool2_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool3_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool4_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool5_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool6_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool7_a.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_c.CEL
1634	5300.3	6439.07	5284.31	5146.55	5885.62	6360.75	4496	5169.04	5363.08	5878.33	6247.32	5286.92	4476.25	4789.1	5919.6	6304.83	4631.26	7100.69	5932.91	4940.45	6093.51
1635	4324.64	5242.39	4699.67	3887.57	5023.29	5271.54	4529.57	4640.9	4336.76	4882	5710	5398.06	3962.07	4260.2	5059.63	5120.52	4162.96	5434.49	5434.05	4243.13	4653.88
1636	463.095	404.333	380.19	374.857	375	298.095	525.952	498.429	397.286	335.952	376.571	438.095	304.524	430.81	272.81	299.762	384.619	400.476	353	614.857	446.095
1637	742.524	652.81	801.714	616	664	822.286	871.571	716.476	736.238	749.381	689.714	487.667	539.381	650.762	631.143	590.571	485.714	597.143	568.381	850.429	963.095
1638	1695.29	1247.76	1404.38	1552.33	1521.62	1190	1448.1	1646.62	1670.86	1173.57	1458.52	1550.57	1747.38	1675.24	1153.33	1122.67	1754.57	1628.76	1335.19	1318.76	1626.71
1639	523.952	513.619	462.333	454.286	562.571	488	704.286	626	691.571	471	370.286	422.81	778.476	628.905	522.381	380.476	640.714	603.571	426.952	409.476	516.429
1640	670.881	436.714	456.286	501.571	616.429	464.095	630.333	590.238	645.905	515.429	448.81	595.571	775.952	565.429	449.857	374.905	659.048	673.714	575.762	423.143	585.381
1641	697.333	597.524	609.429	655.905	753.762	697.048	937	722.048	721.81	587.571	608.476	735.238	795.333	632.048	578.429	591.667	553.333	624.762	544.143	681.476	603.333
1642	192.762	265.524	252	221.429	256.905	175.667	288.524	169.762	227.524	214.048	268.667	322.381	167.19	218.429	239.667	238.571	213.143	262.619	186.619	247.381	245.857
1643	253.619	304.381	267.714	270.19	246.048	191.476	341.381	263.238	259.524	260.476	341.667	251.619	189.381	250.762	305.714	391.762	216.667	232.571	260.476	173.571	368.19
