probe_id	x	y	probe_type	probeset_id	probeset_type	block	huex_cerebellum.CEL	huex_heart.CEL	huex_muscle.CEL
403	18	12	pm	4056423	Expression	0	64	31	42
487	6	15	pm	4056423	Expression	0	31	32	33
665	24	20	pm	4056423	Expression	0	216	50	48
581	4	18	pm	4056423	Expression	0	47	35	29
200	7	6	pm	3510258	Expression	0	65	45	44
400	15	12	pm	3510258	Expression	0	266	99	147
192	31	5	pm	3510258	Expression	0	109	46	49
994	1	31	pm	3510258	Expression	0	29	30	38
753	16	23	pm	3606763	Expression	0	48	33	86
657	16	20	pm	3606763	Expression	0	43	36	36
899	2	28	pm	3606763	Expression	0	54	39	40
571	26	17	pm	3606763	Expression	0	62	34	29
297	8	9	pm	4056463	Expression	0	737	133	287
803	2	25	pm	4056463	Expression	0	48	31	41
668	27	20	pm	4056463	Expression	0	423	34	49
183	22	5	pm	4056463	Expression	0	35	30	28
749	12	23	pm	4056463	Expression	0	249	50	77
23	22	0	pm	4056463	Expression	0	52	28	25
448	31	13	pm	4056463	Expression	0	133	75	84
701	28	21	pm	4056463	Expression	0	48	40	52
588	11	18	pm	3916096	Expression	0	1412	159	45
86	21	2	pm	3916096	Expression	0	64	36	31
514	1	16	pm	3916096	Expression	0	84	46	45
642	1	20	pm	4056473	Expression	0	140	54	113
34	1	1	pm	4056473	Expression	0	165	42	46
196	3	6	pm	4056473	Expression	0	42	32	91
693	20	21	pm	4056473	Expression	0	122	56	110
903	6	28	pm	4056473	Expression	0	624	140	112
557	12	17	pm	4056473	Expression	0	272	78	123
901	4	28	pm	4056473	Expression	0	92	38	47
524	11	16	pm	4056473	Expression	0	66	47	69
310	21	9	pm	2868271	Expression	0	735	163	423
740	3	23	pm	2868271	Expression	0	35	34	44
615	6	19	pm	2868271	Expression	0	61	28	36
151	22	4	pm	2868271	Expression	0	78	40	32
476	27	14	pm	4056479	Expression	0	120	50	82
806	5	25	pm	4056479	Expression	0	131	85	148
435	18	13	pm	4056479	Expression	0	35	34	25
432	15	13	pm	4056479	Expression	0	538	413	745
506	25	15	pm	4056479	Expression	0	147	58	82
20	19	0	pm	4056479	Expression	0	179	34	36
628	19	19	pm	3677826	Expression	0	43	37	67
641	0	20	pm	3677826	Expression	0	26	34	29
345	24	10	pm	3677826	Expression	0	34	33	28
378	25	11	pm	3677826	Expression	0	965	35	39
290	1	9	pm	4056235	Expression	0	309	72	143
291	2	9	mm	4056235	Expression	0	61	36	28
768	31	23	pm	4056235	Expression	0	51	41	53
770	1	24	mm	4056235	Expression	0	36	29	27
906	9	28	pm	4056483	Expression	0	35	30	36
653	12	20	pm	4056483	Expression	0	92	37	90
879	14	27	pm	4056483	Expression	0	31	32	27
826	25	25	pm	4086961	Expression	0	106	29	32
372	19	11	pm	4086961	Expression	0	44	40	35
922	25	28	pm	4086961	Expression	0	67	33	47
194	1	6	pm	4086961	Expression	0	168	54	45
542	29	16	pm	4057134	Expression	0	61	35	34
231	6	7	pm	4057134	Expression	0	28	37	29
695	22	21	pm	4057134	Expression	0	51	31	30
804	3	25	pm	4087585	Expression	0	86	50	46
584	7	18	pm	4087585	Expression	0	62	36	47
458	9	14	pm	4087585	Expression	0	168	64	122
585	8	18	pm	4087585	Expression	0	144	58	42
